股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH603598,引力传媒,9.81,-0.55,-5.31%,-9.17%,16206334,164248491.11,6.05%,49.535,,2627735049
SH601880,辽港股份,1.7,-0.03,-1.73%,-1.73%,95662286,164153162.8,0.55%,21.282,1.588%,40778011887
SH603688,石英股份,55.46,-2.5,-4.31%,-12.12%,2890878,163826814.34,0.82%,69.706,0.431%,19585786627
SH603117,万林物流,3.59,-0.29,-7.47%,-9.8%,44804020,163757863.2,7.08%,50.047,0.641%,2272988762
SH600115,中国东航,4.77,-0.16,-3.25%,-7.56%,33840300,163508861.67,0.35%,,,90031079172
SH603323,苏农银行,5.45,-0.03,-0.55%,11.91%,29535379,163304183.17,1.95%,8.884,2.752%,9826733893
SH601099,太平洋,2.82,-0.04,-1.4%,-14.02%,57376370,163303167.71,0.84%,,,19222012163
SH600984,建设机械,7.42,-0.55,-6.9%,-33.75%,21290443,162421151.36,2.36%,19.152,2.022%,7174819938
SH603985,恒润股份,21.74,-1.24,-5.4%,-59.3%,7296469,162303851.99,2.75%,16.683,0.46%,7372502301
SH600280,中央商场,2.67,-0.24,-8.25%,-8.25%,59579004,162260459.56,5.23%,28.251,,3039353969
SH600580,卧龙电驱,11.25,-0.61,-5.14%,-38.49%,14085137,162064086.74,1.08%,16.193,1.333%,14796704093
SH600820,隧道股份,5.16,-0.18,-3.37%,-4.09%,30725634,161144679.12,0.98%,6.871,4.264%,16223535845
SH600094,大名城,3.56,-0.21,-5.57%,0.56%,44458902,160964844.95,1.95%,26.586,0.702%,8812157203
SH600637,东方明珠,7.42,-0.09,-1.2%,-21.48%,21354273,160782906.94,0.63%,19.273,3.639%,25335591491
SH603982,泉峰汽车,19.45,-1.96,-9.15%,-58.62%,7953984,160771660.34,9.73%,23.182,0.386%,3917645588
SH603113,金能科技,11.98,-0.45,-3.62%,-26.5%,13125238,160451582.92,1.81%,7.427,2.893%,10243774336
SH600082,海泰发展,3.68,-0.2,-5.15%,21.45%,42967801,160226678.7,6.77%,85.448,0.272%,2377706240
SH603605,珀莱雅,181.36,+2.01,+1.12%,-12.94%,872953,159849203,0.43%,65.649,0.397%,36455167434
SH600230,沧州大化,15.73,-1.22,-7.2%,10.46%,9957216,159720112.34,2.42%,16.367,0.095%,6584519830
SH600824,益民集团,4.16,-0.23,-5.24%,7.77%,38036804,159289481.85,3.61%,18.273,1.202%,4384752624
SH600250,南纺股份,6.26,+0.1,+1.62%,25.45%,24868501,158718928.26,9.21%,,,1944317683
SH601963,重庆银行,8.36,-0.2,-2.34%,-6.07%,18604701,157219328.14,2.69%,6.228,,29046864634
SH601199,江南水务,6.83,-0.09,-1.3%,7.05%,22507642,157140763.45,2.41%,21.53,1.171%,6387486294
SH603439,贵州三力,13.96,-0.91,-6.12%,-11.53%,11052200,156967487.79,6.81%,36.48,1.775%,5735636535
SH600072,中船科技,11.77,-0.68,-5.46%,-19.66%,13003926,156477360.88,1.77%,40.639,0.51%,8665661123
SH600486,扬农化工,120,-3.84,-3.1%,-8.54%,1294683,156461108.59,0.42%,30.431,0.542%,37187868840
SH600674,川投能源,10.73,-0.21,-1.92%,-14.16%,14370283,156138392.44,0.33%,15.765,3.728%,47278054846
SH601908,京运通,6.02,-0.31,-4.9%,-34.35%,25499400,156071765.8,1.06%,17.552,0.997%,14535909223
SH600183,生益科技,16.39,-0.33,-1.97%,-30.4%,9421048,155699228.66,0.41%,13.407,3.656%,37938493538
SH600839,四川长虹,2.74,-0.1,-3.52%,-17.22%,55878390,155313815.56,1.21%,36.604,0.365%,12648509168
SH600278,东方创业,7.82,-0.49,-5.9%,-3.34%,19437371,155108045.34,2.86%,16.678,1.169%,6909184487
SH600885,宏发股份,41.71,-1.8,-4.14%,-44.12%,3642492,154568753.09,0.49%,29.424,0.815%,31064004334
SH600493,凤竹纺织,6.29,+0.23,+3.8%,3.11%,24681400,154561459.76,9.07%,23.374,1.285%,1710880000
SH600995,文山电力,12.72,-1.03,-7.49%,-35.98%,11754354,154339415.86,2.46%,386.274,0.079%,6086855808
SH601010,文峰股份,3.46,-0.16,-4.42%,-0.29%,43840500,153426310.24,2.37%,20.738,4.191%,6394080000
SH601700,风范股份,4.56,-0.34,-6.94%,-25.85%,32590062,153288206.22,2.86%,62.388,1.096%,5203283851
SH601058,赛轮轮胎,9.18,-0.39,-4.08%,-37.93%,16385817,152969729.98,0.63%,21.419,1.634%,28122790207
SH601799,星宇股份,117.98,-3.26,-2.69%,-42.24%,1285386,152889949.09,0.45%,35.499,0.932%,33704457854
SH603668,天马科技,13.16,-0.74,-5.32%,4.86%,11340199,152191917.33,2.8%,55.413,0.304%,5739927794
SH600594,益佰制药,6.36,-0.43,-6.33%,-21.77%,23291243,152079781.1,2.94%,15.042,2.044%,5036658264
SH601000,唐山港,2.85,-0.05,-1.72%,3.64%,52655570,151621762.42,0.89%,8.086,12.281%,16888896550
SH600623,华谊集团,7.82,-0.43,-5.21%,-14.07%,18954242,150910151.72,1.02%,5.616,5.371%,16667935856
SH600586,金晶科技,6.2,-0.4,-6.06%,-33.05%,23552649,150446430.73,1.65%,8.073,4.516%,8858374000
SH600007,中国国贸,13.54,-0.61,-4.31%,-5.97%,10931461,150158644.84,1.09%,13.322,4.431%,13638605510
SH600158,中体产业,7.95,-0.39,-4.68%,-47.42%,18553649,149623509.75,2.68%,685.246,0.214%,7628128883
SH600587,新华医疗,20.1,-0.86,-4.1%,-37.58%,7358627,149160433.81,1.82%,18.039,0.491%,8280695309
SH601008,连云港,4.03,-0.27,-6.28%,4.68%,35868293,148388703.94,3.57%,45.869,0.744%,4999771164
SH603885,吉祥航空,13.57,-1.02,-6.99%,-23.55%,10536012,148356049.02,0.59%,,,26680576210
SH601975,招商南油,1.87,-0.05,-2.6%,-6.97%,77956677,148138684.73,1.61%,30.612,,9074705796
